Question Number,Question,Answer,Category,Difficulty
259,What is a digital certificate?,"A document proving the ownership of a public key.",Cybersecurity,Hard
260,What is data exfiltration?,"Unauthorized transfer of data from a system.",Cybersecurity,Medium
261,What is a logic bomb?,"Malicious code triggered by specific conditions.",Cybersecurity,Hard
262,What is data masking?,"Hiding sensitive data by obfuscating it in non-production environments.",Cybersecurity,Medium
263,What is a honeypot?,"A decoy system used to attract attackers and analyze their methods.",Cybersecurity,Hard
264,What is multi-factor authentication (MFA)?,"Using multiple methods to verify user identity.",Cybersecurity,Easy
265,What is spyware?,"Software that collects user data covertly.",Cybersecurity,Hard
266,What is ransomware-as-a-service (RaaS)?,"Offering ransomware tools as a paid service to criminals.",Cybersecurity,Hard
267,What is cryptojacking?,"Using a victim’s device to mine cryptocurrency without permission.",Cybersecurity,Medium
268,What is threat hunting?,"Proactively searching for cyber threats that evade detection.",Cybersecurity,Hard
269,What is a digital footprint?,"The data trail left by users online.",Cybersecurity,Easy
270,What is defense in depth?,"Using multiple layers of security controls.",Cybersecurity,Medium
271,What is a backdoor?,"A hidden method to bypass normal authentication.",Cybersecurity,Hard
272,What is a vulnerability?,"A weakness in a system that can be exploited.",Cybersecurity,Medium
273,What is the difference between authentication and authorization?,"Authentication verifies identity; authorization grants access.",Cybersecurity,Easy
274,What is a password policy?,"Rules that govern the creation and management of passwords.",Cybersecurity,Easy
275,What is a brute force attack?,"Trying all possible passwords to gain access.",Cybersecurity,Easy
276,What is data breach?,"Unauthorized access to sensitive information.",Cybersecurity,Easy
277,What is a digital signature?,"A cryptographic proof of authenticity.",Cybersecurity,Hard
278,What is a security audit?,"A review of security policies and controls.",Cybersecurity,Medium
279,What is cyber hygiene?,"Practices to maintain security and system health.",Cybersecurity,Easy
280,What is a proxy server?,"An intermediary between clients and servers for filtering or anonymity.",Cybersecurity,Medium
281,What is network sniffing?,"Capturing network data packets for analysis.",Cybersecurity,Medium
282,What is a certificate revocation list (CRL)?,"A list of digital certificates that have been revoked.",Cybersecurity,Hard
283,What is two-step verification?,"A method requiring two verification steps for access.",Cybersecurity,Easy
284,What is malware?,"Software designed to cause harm or unauthorized actions.",Cybersecurity,Easy
285,What is a virus?,"Malware that attaches to files and spreads.",Cybersecurity,Medium
286,What is a worm?,"Self-replicating malware that spreads automatically.",Cybersecurity,Medium
287,What is a Trojan horse?,"Malware disguised as legitimate software.",Cybersecurity,Medium
288,What is patching?,"Applying updates to software for fixes.",Cybersecurity,Medium
289,What is an endpoint?,"A device such as a computer or mobile phone connected to a network.",Cybersecurity,Easy
290,What is a kill chain?,"The sequence of steps in a cyberattack.",Cybersecurity,Medium
291,What is threat intelligence?,"Information on threats to help defend systems.",Cybersecurity,Medium
292,What is social engineering?,"Manipulating people to gain unauthorized access.",Cybersecurity,Easy
293,What is a firewall?,"A system that controls incoming and outgoing network traffic.",Cybersecurity,Easy
294,What is encryption?,"Encoding data to prevent unauthorized access.",Cybersecurity,Easy
295,What is a botnet?,"Network of compromised devices controlled by attackers.",Cybersecurity,Medium
296,What is spear phishing?,"Targeted phishing attack.",Cybersecurity,Hard
297,What is a denial of service attack?,"Overwhelming a system to deny service.",Cybersecurity,Medium
298,What is ransomware?,"Malware demanding ransom for data release.",Cybersecurity,Medium
299,What is multi-factor authentication?,"Using multiple authentication methods.",Cybersecurity,Easy
300,What is a security token?,"A device or software proving identity.",Cybersecurity,Medium
